frame,time,index,x,y,z,visibility,presence,normalized
2,20,0,-396.4287109375,-175.8553466796875,612.0770874023438,,,False
2,20,1,-294.7203063964844,-189.4071807861328,618.558349609375,,,False
2,20,2,-407.86529541015625,161.02735900878906,643.0064086914062,,,False
2,20,3,-326.5080871582031,156.23963928222656,632.938720703125,,,False
2,20,4,-684.10546875,199.95301818847656,70.247314453125,,,False
2,20,5,-679.1634521484375,-207.30860900878906,62.015167236328125,,,False
2,20,6,-537.5825805664062,120.91645812988281,700.1136474609375,,,False
2,20,7,-490.70404052734375,-163.28414916992188,662.2107543945312,,,False
3,30,0,-395.7613525390625,-175.6530303955078,611.1549682617188,,,False
3,30,1,-294.1495666503906,-189.2710723876953,617.783447265625,,,False
3,30,2,-406.50030517578125,161.19064331054688,642.8762817382812,,,False
3,30,3,-325.3343811035156,156.1820068359375,632.4219360351562,,,False
3,30,4,-683.8016357421875,200.7774658203125,70.58438110351562,,,False
3,30,5,-679.4451293945312,-207.8865966796875,61.376094818115234,,,False
3,30,6,-536.1950073242188,120.12046813964844,699.9803466796875,,,False
3,30,7,-490.075927734375,-162.9037322998047,661.3846435546875,,,False
4,40,0,-395.23870849609375,-175.37388610839844,610.3566284179688,,,False
4,40,1,-293.6537780761719,-189.19039916992188,617.0803833007812,,,False
4,40,2,-405.2335510253906,161.38543701171875,642.6407470703125,,,False
4,40,3,-324.12957763671875,156.10018920898438,631.9490356445312,,,False
4,40,4,-683.6176147460938,201.602783203125,70.90904235839844,,,False
4,40,5,-679.2318725585938,-208.48976135253906,61.725582122802734,,,False
4,40,6,-534.0477294921875,121.47005462646484,698.7459106445312,,,False
4,40,7,-489.5839538574219,-162.27182006835938,660.4938354492188,,,False
5,50,0,-394.8054504394531,-174.94039916992188,609.5772094726562,,,False
5,50,1,-293.2545471191406,-189.03799438476562,616.548583984375,,,False
5,50,2,-403.93035888671875,161.5668182373047,642.5523681640625,,,False
5,50,3,-323.0196228027344,156.15029907226562,631.576904296875,,,False
5,50,4,-683.5301513671875,202.4001007080078,71.14572143554688,,,False
