frame,time,index,x,y,z,visibility,presence,normalized
2,20,0,-318.5233154296875,-246.2152862548828,475.601318359375,,,False
2,20,1,-244.8280792236328,-216.2269744873047,516.0316162109375,,,False
2,20,2,-625.6185302734375,-191.61138916015625,73.67420196533203,,,False
2,20,3,-664.5355834960938,188.5816650390625,74.41170501708984,,,False
2,20,4,-356.05584716796875,247.29605102539062,475.7542419433594,,,False
2,20,5,-287.8279724121094,234.62913513183594,513.8593139648438,,,False
3,30,0,-318.41058349609375,-246.8631591796875,475.2577819824219,,,False
3,30,1,-244.5943145751953,-216.7584686279297,515.953369140625,,,False
3,30,2,-626.2040405273438,-190.18458557128906,73.943359375,,,False
3,30,3,-667.3238525390625,190.36500549316406,77.70889282226562,,,False
3,30,4,-356.1869201660156,247.1753692626953,475.9038391113281,,,False
3,30,5,-287.7953186035156,234.34620666503906,514.0595703125,,,False
4,40,0,-318.2046813964844,-247.47000122070312,475.0201416015625,,,False
4,40,1,-244.2692413330078,-217.25582885742188,515.9468994140625,,,False
4,40,2,-626.703125,-188.96737670898438,74.25357818603516,,,False
4,40,3,-670.1942749023438,192.53851318359375,80.8363037109375,,,False
4,40,4,-356.311279296875,247.12550354003906,476.1282653808594,,,False
4,40,5,-287.78729248046875,234.05810546875,514.2631225585938,,,False
5,50,0,-317.7000427246094,-247.76751708984375,474.5691833496094,,,False
5,50,1,-243.8729705810547,-217.57077026367188,515.84619140625,,,False
5,50,2,-627.1896362304688,-187.91297912597656,74.33809661865234,,,False
5,50,3,-673.1707153320312,194.86834716796875,83.90914916992188,,,False
5,50,4,-356.4359436035156,247.02700805664062,476.3204040527344,,,False
5,50,5,-287.77001953125,233.81117248535156,514.4959106445312,,,False
6,60,0,-317.50225830078125,-248.1976318359375,474.5202331542969,,,False
6,60,1,-243.4178466796875,-217.89932250976562,515.8002319335938,,,False
6,60,2,-627.6671752929688,-187.06881713867188,74.15538787841797,,,False
6,60,3,-676.2059936523438,197.2448272705078,86.55589294433594,,,False
6,60,4,-356.61639404296875,246.98419189453125,476.4945983886719,,,False
6,60,5,-287.8354797363281,233.48056030273438,514.6907348632812,,,False
7,70,0,-317.3061828613281,-248.44271850585938,474.67242431640625,,,False
7,70,1,-243.0018768310547,-217.97259521484375,515.8027954101562,,,False
7,70,2,-628.32958984375,-186.32369995117188,73.3670654296875,,,False
7,70,3,-679.3952026367188,199.63037109375,88.78990173339844,,,False
7,70,4,-356.82684326171875,246.90086364746094,476.8184509277344,,,False
7,70,5,-287.9064636230469,233.2131805419922,514.8250732421875,,,False
8,80,0,-317.2389831542969,-248.4925537109375,475.06182861328125,,,False
8,80,1,-242.70494079589844,-217.94918823242188,515.8909301757812,,,False
8,80,2,-629.3248901367188,-185.67123413085938,71.8814697265625,,,False
8,80,3,-682.6491088867188,201.7027130126953,90.62256622314453,,,False
8,80,4,-357.122802734375,246.77098083496094,477.0702209472656,,,False
8,80,5,-288.0580139160156,232.8904266357422,515.0599365234375,,,False
9,90,0,-317.2016906738281,-248.45130920410156,475.53460693359375,,,False
9,90,1,-242.46510314941406,-217.7357177734375,516.005859375,,,False
9,90,2,-630.66357421875,-185.08169555664062,69.6655502319336,,,False
9,90,3,-686.0153198242188,203.36712646484375,92.00067138671875,,,False
9,90,4,-357.4866943359375,246.83706665039062,477.4411926269531,,,False
9,90,5,-288.3037414550781,232.6841583251953,515.2598876953125,,,False
10,100,0,-317.2624206542969,-248.24807739257812,476.1986389160156,,,False
10,100,1,-242.29766845703125,-217.40609741210938,516.1571044921875,,,False
10,100,2,-632.3480834960938,-184.58392333984375,66.91942596435547,,,False
10,100,3,-689.36962890625,204.7996368408203,93.18655395507812,,,False
10,100,4,-358.136474609375,246.66944885253906,477.6839294433594,,,False
10,100,5,-288.609130859375,232.52053833007812,515.4462890625,,,False
11,110,0,-317.3941650390625,-247.89549255371094,476.80535888671875,,,False
11,110,1,-242.23007202148438,-217.00038146972656,516.2916870117188,,,False
11,110,2,-634.206787109375,-184.4912109375,64.38893127441406,,,False
11,110,3,-692.5669555664062,205.8175048828125,94.50640106201172,,,False
11,110,4,-358.8252258300781,246.5681915283203,477.89556884765625,,,False
11,110,5,-289.0197448730469,232.34201049804688,515.519287109375,,,False
12,120,0,-317.4833984375,-247.49026489257812,477.4987487792969,,,False
12,120,1,-242.12847900390625,-216.57981872558594,516.3787841796875,,,False
12,120,2,-636.0545654296875,-184.68734741210938,62.93889617919922,,,False
12,120,3,-695.5869750976562,206.5264434814453,95.98342895507812,,,False
12,120,4,-359.3892517089844,246.5369873046875,478.06427001953125,,,False
12,120,5,-289.4255676269531,232.1761016845703,515.63916015625,,,False
13,130,0,-317.6908874511719,-246.90916442871094,478.2481689453125,,,False
13,130,1,-242.05148315429688,-216.16734313964844,516.4966430664062,,,False
13,130,2,-637.5621948242188,-185.30213928222656,63.42466735839844,,,False
13,130,3,-698.3262939453125,207.16123962402344,97.62046813964844,,,False
13,130,4,-359.7986145019531,246.5104217529297,478.2179260253906,,,False
13,130,5,-289.6839904785156,232.0360565185547,515.711669921875,,,False
14,140,0,-317.9778137207031,-246.154296875,478.9329528808594,,,False
14,140,1,-241.95846557617188,-215.7476806640625,516.64794921875,,,False
14,140,2,-638.7018432617188,-186.54534912109375,65.71170043945312,,,False
14,140,3,-700.8226318359375,207.47276306152344,99.31309509277344,,,False
14,140,4,-360.1562805175781,246.47586059570312,478.381591796875,,,False
14,140,5,-289.8343200683594,231.86166381835938,515.8092041015625,,,False
15,150,0,-318.50872802734375,-245.29920959472656,479.69525146484375,,,False
15,150,1,-241.97996520996094,-215.33334350585938,516.7251586914062,,,False
15,150,2,-639.5425415039062,-188.30772399902344,68.67455291748047,,,False
15,150,3,-703.0359497070312,207.64622497558594,100.79757690429688,,,False
15,150,4,-360.4228820800781,246.52340698242188,478.4595031738281,,,False
15,150,5,-289.9716491699219,231.8040008544922,515.7723999023438,,,False
16,160,0,-319.14996337890625,-244.2535858154297,480.474853515625,,,False
16,160,1,-242.11172485351562,-214.86456298828125,516.8541870117188,,,False
16,160,2,-640.1593017578125,-190.6099395751953,71.52888488769531,,,False
16,160,3,-705.040283203125,207.6492919921875,101.94954681396484,,,False
16,160,4,-360.62469482421875,246.52369689941406,478.4689636230469,,,False
16,160,5,-289.9388122558594,231.8027801513672,515.7769165039062,,,False
17,170,0,-319.9127197265625,-243.0762481689453,481.2969970703125,,,False
17,170,1,-242.3294219970703,-214.4458770751953,516.9434204101562,,,False
17,170,2,-640.66259765625,-193.30355834960938,74.19129943847656,,,False
17,170,3,-706.7537231445312,207.51380920410156,102.75614929199219,,,False
17,170,4,-360.7302551269531,246.66940307617188,478.5885009765625,,,False
17,170,5,-289.806640625,231.8452911376953,515.8515625,,,False
18,180,0,-320.583740234375,-241.97576904296875,482.01275634765625,,,False
18,180,1,-242.51492309570312,-214.01937866210938,516.9921875,,,False
18,180,2,-641.0802001953125,-196.08180236816406,76.51271057128906,,,False
18,180,3,-708.2132568359375,207.31040954589844,103.16496276855469,,,False
18,180,4,-360.76434326171875,246.75164794921875,478.63330078125,,,False
18,180,5,-289.7041015625,231.95103454589844,515.9788818359375,,,False
19,190,0,-321.2230224609375,-241.0121612548828,482.5567932128906,,,False
19,190,1,-242.67030334472656,-213.56959533691406,517.132080078125,,,False
19,190,2,-641.7568969726562,-198.4995880126953,78.56645202636719,,,False
19,190,3,-709.3264770507812,207.13230895996094,103.28715515136719,,,False
19,190,4,-360.91314697265625,246.83676147460938,478.7609558105469,,,False
19,190,5,-289.5931396484375,231.935546875,515.957763671875,,,False
20,200,0,-321.62646484375,-240.3158416748047,483.1413269042969,,,False
20,200,1,-242.90394592285156,-213.19895935058594,517.1799926757812,,,False
20,200,2,-642.6248779296875,-200.37625122070312,80.45490264892578,,,False
20,200,3,-710.0806884765625,206.95228576660156,103.08306884765625,,,False
20,200,4,-361.08099365234375,246.7636260986328,478.7136535644531,,,False
20,200,5,-289.5359191894531,231.9646759033203,516.0189819335938,,,False
21,210,0,-321.9053955078125,-239.973876953125,483.4212646484375,,,False
21,210,1,-243.06031799316406,-212.82461547851562,517.2485961914062,,,False
21,210,2,-643.6541748046875,-201.77984619140625,82.1570053100586,,,False
21,210,3,-710.4205932617188,206.89495849609375,102.82958984375,,,False
21,210,4,-361.3003845214844,246.8118438720703,478.8703308105469,,,False
21,210,5,-289.533447265625,231.95785522460938,516.0325927734375,,,False
22,220,0,-322.11322021484375,-239.83306884765625,483.6573486328125,,,False
22,220,1,-243.24746704101562,-212.52828979492188,517.2120971679688,,,False
22,220,2,-644.8795166015625,-202.71450805664062,83.74288940429688,,,False
22,220,3,-710.320556640625,206.85943603515625,102.97034454345703,,,False
22,220,4,-361.4661560058594,246.84521484375,478.9452209472656,,,False
22,220,5,-289.5673522949219,231.91513061523438,515.9976806640625,,,False
23,230,0,-322.2311706542969,-239.86981201171875,483.8493957519531,,,False
23,230,1,-243.37200927734375,-212.26055908203125,517.2620849609375,,,False
23,230,2,-646.2794189453125,-203.2393798828125,85.34649658203125,,,False
23,230,3,-709.6416625976562,206.91485595703125,103.83879089355469,,,False
23,230,4,-361.594482421875,246.89007568359375,479.03973388671875,,,False
23,230,5,-289.5827941894531,231.95343017578125,515.97802734375,,,False
24,240,0,-322.2265930175781,-239.978271484375,483.9466857910156,,,False
24,240,1,-243.48402404785156,-212.03659057617188,517.2294921875,,,False
24,240,2,-647.790283203125,-203.38555908203125,87.34640502929688,,,False
24,240,3,-708.5608520507812,206.95399475097656,105.35662078857422,,,False
24,240,4,-361.65850830078125,246.94671630859375,479.0536804199219,,,False
24,240,5,-289.48614501953125,232.01644897460938,515.938232421875,,,False
25,250,0,-322.2274475097656,-239.9448699951172,483.96319580078125,,,False
25,250,1,-243.65939331054688,-211.84390258789062,517.261474609375,,,False
25,250,2,-649.4087524414062,-203.15826416015625,89.58016204833984,,,False
25,250,3,-707.1900024414062,207.12112426757812,107.02751159667969,,,False
25,250,4,-361.63690185546875,247.0537567138672,479.14703369140625,,,False
25,250,5,-289.3131408691406,232.1522979736328,515.9336547851562,,,False
26,260,0,-322.06195068359375,-239.35301208496094,483.63580322265625,,,False
26,260,1,-243.7485809326172,-211.63133239746094,517.27392578125,,,False
26,260,2,-651.1686401367188,-202.63912963867188,91.93212127685547,,,False
26,260,3,-705.7244873046875,207.44041442871094,108.42816925048828,,,False
26,260,4,-361.53924560546875,247.17372131347656,479.24658203125,,,False
26,260,5,-289.1085205078125,232.22288513183594,515.8961791992188,,,False
27,270,0,-322.2968444824219,-239.1168975830078,483.6019592285156,,,False
27,270,1,-244.03521728515625,-211.3016357421875,517.3359375,,,False
27,270,2,-653.0598754882812,-201.91305541992188,94.22463989257812,,,False
27,270,3,-704.3024291992188,207.7929229736328,109.26981353759766,,,False
27,270,4,-361.49163818359375,247.24716186523438,479.3075866699219,,,False
27,270,5,-288.8988037109375,232.28573608398438,515.8948364257812,,,False
28,280,0,-322.6519470214844,-238.8337860107422,483.53948974609375,,,False
28,280,1,-244.40914916992188,-211.02464294433594,517.460693359375,,,False
28,280,2,-655.048828125,-201.1337432861328,96.3498764038086,,,False
28,280,3,-703.0094604492188,208.12937927246094,109.73497772216797,,,False
28,280,4,-361.4521484375,247.2821807861328,479.4017333984375,,,False
28,280,5,-288.65460205078125,232.39111328125,515.938232421875,,,False
29,290,0,-323.1380310058594,-238.53573608398438,483.1979064941406,,,False
29,290,1,-244.84478759765625,-210.83029174804688,517.593994140625,,,False
29,290,2,-657.142822265625,-200.3419952392578,98.24765014648438,,,False
29,290,3,-701.8531494140625,208.3658905029297,109.78479766845703,,,False
29,290,4,-361.4397277832031,247.24588012695312,479.48565673828125,,,False
29,290,5,-288.4587097167969,232.41172790527344,515.9487915039062,,,False
30,300,0,-323.6060791015625,-238.32891845703125,482.96453857421875,,,False
30,300,1,-245.3248291015625,-210.6866912841797,517.7820434570312,,,False
30,300,2,-659.2804565429688,-199.5899200439453,99.86026763916016,,,False
30,300,3,-700.8785400390625,208.53013610839844,109.61862182617188,,,False
30,300,4,-361.43731689453125,247.20529174804688,479.56390380859375,,,False
30,300,5,-288.3194580078125,232.34475708007812,515.9845581054688,,,False
31,310,0,-324.1782531738281,-238.19480895996094,482.6315612792969,,,False
31,310,1,-245.91929626464844,-210.61602783203125,517.9256591796875,,,False
31,310,2,-661.4937133789062,-199.0019989013672,101.2262191772461,,,False
31,310,3,-700.135009765625,208.60491943359375,109.19891357421875,,,False
31,310,4,-361.44146728515625,246.911376953125,479.49481201171875,,,False
31,310,5,-288.1934814453125,232.3527374267578,516.05078125,,,False
32,320,0,-324.8272399902344,-237.99105834960938,482.32928466796875,,,False
32,320,1,-246.67892456054688,-210.5591278076172,518.1529541015625,,,False
32,320,2,-663.6820068359375,-198.3831787109375,102.37014770507812,,,False
32,320,3,-699.6168212890625,208.54595947265625,108.62844848632812,,,False
32,320,4,-361.496337890625,245.79147338867188,478.8231201171875,,,False
32,320,5,-288.14410400390625,232.28785705566406,516.0738525390625,,,False
33,330,0,-325.63494873046875,-237.76962280273438,482.0325012207031,,,False
33,330,1,-247.4527130126953,-210.45611572265625,518.2860107421875,,,False
33,330,2,-665.989990234375,-197.971923828125,103.1898193359375,,,False
33,330,3,-699.4219360351562,208.5257110595703,107.896728515625,,,False
33,330,4,-361.5731506347656,245.5360565185547,478.91229248046875,,,False
33,330,5,-288.18243408203125,232.2161865234375,516.1119995117188,,,False
34,340,0,-326.4855651855469,-237.4422149658203,481.86279296875,,,False
34,340,1,-248.3263397216797,-210.28668212890625,518.4612426757812,,,False
34,340,2,-668.26708984375,-197.61012268066406,103.67613220214844,,,False
34,340,3,-699.5260620117188,208.494140625,107.04258728027344,,,False
34,340,4,-361.73095703125,245.358642578125,479.0359802246094,,,False
34,340,5,-288.35015869140625,232.03036499023438,516.0521240234375,,,False
35,350,0,-327.302734375,-237.0421600341797,481.72979736328125,,,False
35,350,1,-249.17832946777344,-210.1256103515625,518.607666015625,,,False
35,350,2,-670.5833740234375,-197.44956970214844,103.877685546875,,,False
35,350,3,-699.9108276367188,208.48204040527344,106.24604034423828,,,False
35,350,4,-361.9379577636719,245.1282958984375,479.1805419921875,,,False
35,350,5,-288.5824279785156,231.70530700683594,515.8202514648438,,,False
36,360,0,-328.0889892578125,-236.6805877685547,481.587646484375,,,False
36,360,1,-250.00503540039062,-209.9000701904297,518.7174072265625,,,False
36,360,2,-672.7857666015625,-197.43942260742188,104.2622299194336,,,False
36,360,3,-700.6290283203125,208.6632843017578,105.59124755859375,,,False
36,360,4,-362.2837219238281,244.91818237304688,479.3066101074219,,,False
36,360,5,-288.8525695800781,231.61801147460938,515.80517578125,,,False
37,370,0,-328.7186584472656,-236.299560546875,481.5315856933594,,,False
37,370,1,-250.7580108642578,-209.64268493652344,518.8673706054688,,,False
37,370,2,-674.7279663085938,-197.62417602539062,105.27945709228516,,,False
37,370,3,-701.6693725585938,208.82174682617188,105.16830444335938,,,False
37,370,4,-362.6240539550781,244.7628936767578,479.3951721191406,,,False
37,370,5,-289.25946044921875,230.9080352783203,515.1116333007812,,,False
38,380,0,-329.28106689453125,-235.99903869628906,481.5559387207031,,,False
38,380,1,-251.4137725830078,-209.45050048828125,519.0625,,,False
38,380,2,-676.4651489257812,-197.99240112304688,106.81111145019531,,,False
38,380,3,-702.9627075195312,209.3182373046875,105.10599517822266,,,False
38,380,4,-362.9610900878906,244.6962432861328,479.48089599609375,,,False
38,380,5,-289.5574951171875,230.8516387939453,514.9852905273438,,,False
39,390,0,-329.7722473144531,-235.84210205078125,481.4451904296875,,,False
39,390,1,-252.02157592773438,-209.34190368652344,519.1058959960938,,,False
39,390,2,-678.0487060546875,-198.54835510253906,108.53797149658203,,,False
39,390,3,-704.4617309570312,210.05772399902344,105.194580078125,,,False
39,390,4,-363.2959289550781,244.5450439453125,479.6094970703125,,,False
39,390,5,-289.8921813964844,230.78121948242188,514.908935546875,,,False
40,400,0,-330.199951171875,-235.7056427001953,481.35345458984375,,,False
40,400,1,-252.5565185546875,-209.22584533691406,519.214599609375,,,False
40,400,2,-679.5698852539062,-199.33840942382812,109.93407440185547,,,False
40,400,3,-706.2279663085938,210.97433471679688,105.4380874633789,,,False
40,400,4,-363.6171569824219,244.4374237060547,479.6183776855469,,,False
40,400,5,-290.1849060058594,230.73089599609375,514.7664794921875,,,False
41,410,0,-330.5546569824219,-235.64588928222656,481.01593017578125,,,False
41,410,1,-253.03811645507812,-209.16259765625,519.3211669921875,,,False
41,410,2,-681.1176147460938,-200.27101135253906,110.90271759033203,,,False
41,410,3,-708.1982421875,212.12319946289062,105.72300720214844,,,False
41,410,4,-363.94293212890625,244.37010192871094,479.6895751953125,,,False
41,410,5,-290.433837890625,230.69473266601562,514.6470947265625,,,False
42,420,0,-330.8263854980469,-235.72499084472656,480.7753601074219,,,False
42,420,1,-253.55499267578125,-209.14547729492188,519.3807373046875,,,False
42,420,2,-683.1605224609375,-200.99465942382812,111.35384368896484,,,False
42,420,3,-710.273681640625,213.47677612304688,105.87905883789062,,,False
42,420,4,-364.17559814453125,244.1695098876953,479.7691955566406,,,False
42,420,5,-290.662109375,230.62510681152344,514.4998168945312,,,False
