frame,time,index,x,y,z,visibility,presence,normalized
3,30,0,-81.58688354492188,202.49171447753906,52.90476989746094,,,False
3,30,1,-75.11614227294922,-163.1543731689453,50.877262115478516,,,False
3,30,2,-373.1275329589844,104.83405303955078,930.6279907226562,,,False
3,30,3,-371.0853576660156,66.3485107421875,999.028564453125,,,False
3,30,4,-349.43157958984375,-43.180850982666016,928.9636840820312,,,False
3,30,5,-330.107177734375,-16.886245727539062,1002.7145385742188,,,False
5,50,0,-81.54217529296875,202.44468688964844,52.91170120239258,,,False
5,50,1,-74.9843521118164,-163.14805603027344,50.57051467895508,,,False
5,50,2,-373.4154052734375,109.11119079589844,931.5343017578125,,,False
5,50,3,-370.9665832519531,70.48641967773438,1000.1326293945312,,,False
5,50,4,-349.4117736816406,-47.866058349609375,928.8773803710938,,,False
5,50,5,-330.11651611328125,-21.737485885620117,1002.6526489257812,,,False
6,60,0,-81.56229400634766,202.43701171875,52.91508483886719,,,False
6,60,1,-74.9472427368164,-163.11732482910156,50.46455383300781,,,False
6,60,2,-373.66851806640625,111.64270782470703,931.7409057617188,,,False
6,60,3,-370.6988525390625,73.59275817871094,1000.4633178710938,,,False
6,60,4,-349.4786682128906,-50.64030075073242,928.60009765625,,,False
6,60,5,-330.11273193359375,-24.622962951660156,1002.3209838867188,,,False
8,80,0,-81.5787353515625,202.42254638671875,52.94966125488281,,,False
8,80,1,-74.89961242675781,-163.16360473632812,50.415138244628906,,,False
8,80,2,-374.3448486328125,117.59799194335938,931.6265869140625,,,False
8,80,3,-370.2950439453125,80.10006713867188,1000.4283447265625,,,False
8,80,4,-349.7518005371094,-57.14128494262695,927.3450317382812,,,False
8,80,5,-330.0128173828125,-31.33854103088379,1000.8905029296875,,,False
9,90,0,-81.58683776855469,202.44146728515625,52.963958740234375,,,False
9,90,1,-74.87747955322266,-163.14585876464844,50.325313568115234,,,False
9,90,2,-374.724853515625,121.0350112915039,931.2127685546875,,,False
9,90,3,-370.2008361816406,83.77471160888672,1000.1692504882812,,,False
9,90,4,-349.9137878417969,-60.79930877685547,926.247314453125,,,False
9,90,5,-329.77496337890625,-35.150535583496094,999.8124389648438,,,False
11,110,0,-81.58379364013672,202.42181396484375,52.9583740234375,,,False
11,110,1,-74.78518676757812,-163.1290740966797,50.13267517089844,,,False
11,110,2,-375.6396789550781,128.68528747558594,929.509033203125,,,False
11,110,3,-370.2158203125,92.26216888427734,998.7057495117188,,,False
11,110,4,-350.21575927734375,-68.66295623779297,923.1734008789062,,,False
11,110,5,-329.0667724609375,-43.27769470214844,996.595703125,,,False
13,130,0,-81.59127807617188,202.39967346191406,53.02058029174805,,,False
13,130,1,-74.63065338134766,-163.32601928710938,49.94938659667969,,,False
13,130,2,-376.6041259765625,137.2021026611328,926.47607421875,,,False
13,130,3,-369.9613342285156,101.72416687011719,995.9965209960938,,,False
13,130,4,-350.6232604980469,-76.98275756835938,918.948486328125,,,False
13,130,5,-327.9319152832031,-51.92475891113281,991.9945678710938,,,False
14,140,0,-81.62419891357422,202.3922576904297,53.05144500732422,,,False
14,140,1,-74.57677459716797,-163.48342895507812,49.874107360839844,,,False
14,140,2,-376.9996032714844,141.6822509765625,924.3870849609375,,,False
14,140,3,-369.608154296875,106.92574310302734,994.1082763671875,,,False
14,140,4,-350.8714599609375,-81.25227355957031,916.3289794921875,,,False
14,140,5,-327.2638854980469,-56.41712951660156,989.1578979492188,,,False
16,160,0,-81.64541625976562,202.3934783935547,53.12826919555664,,,False
16,160,1,-74.41508483886719,-163.94898986816406,49.9130973815918,,,False
